user_id,activity,start_datetime,end_datetime,duration
6,Eat,2009-04-02 07:19:15.061569,2009-04-02 07:22:34.652849,3
6,Eat,2009-04-02 07:39:19.972049,2009-04-02 07:45:05.041949,6
6,Snack,2009-04-02 08:01:52.001122,2009-04-02 08:24:03.207149,22
6,Snack,2009-04-02 08:37:46.497359,2009-04-02 08:38:17.024689,1
6,Snack,2009-04-02 10:18:22.029164,2009-04-02 10:41:38.446429,23
6,Snack,2009-04-02 10:44:20.060169,2009-04-02 10:54:46.585069,10
6,Snack,2009-04-02 11:41:59.055133,2009-04-02 11:45:34.007959,4
6,Snack,2009-04-02 11:45:50.065153,2009-04-02 11:47:36.366539,2
6,Snack,2009-04-02 11:49:30.207649,2009-04-02 11:50:07.014961,1
6,Snack,2009-04-02 11:57:16.956619,2009-04-02 12:00:09.035365,3
6,Snack,2009-04-02 12:08:22.746099,2009-04-02 12:10:08.083796,2
6,Snack,2009-04-02 12:12:30.082238,2009-04-02 12:12:43.569869,0
6,Snack,2009-04-02 17:23:12.046474,2009-04-02 17:24:24.019775,1
6,Snack,2009-04-02 17:28:00.095531,2009-04-02 17:29:05.012082,1
6,Snack,2009-04-02 17:32:27.645639,2009-04-02 17:52:16.010276,20
6,Eat,2009-04-03 07:30:19.081182,2009-04-03 07:40:29.012208,10
6,Eat,2009-04-03 07:47:49.037804,2009-04-03 07:48:24.476429,1
6,Snack,2009-04-03 10:15:13.031554,2009-04-03 10:30:41.893239,15
6,Snack,2009-04-03 10:31:28.000118,2009-04-03 10:44:02.009876,13
6,Snack,2009-04-03 10:57:21.265429,2009-04-03 11:06:07.595809,9
6,Snack,2009-04-03 11:07:27.043087,2009-04-03 11:13:03.025899,6
6,Snack,2009-04-03 11:30:06.516279,2009-04-03 11:30:53.268749,1
6,Snack,2009-04-03 11:57:48.017277,2009-04-03 11:57:56.004308,0
6,Snack,2009-04-03 11:58:51.078939,2009-04-03 11:59:19.004343,0
6,Snack,2009-04-03 16:52:37.034591,2009-04-03 16:52:54.414799,0
6,Snack,2009-04-03 17:14:32.530489,2009-04-03 17:15:36.532589,1
6,Snack,2009-04-03 17:16:28.012278,2009-04-03 17:16:41.558269,0
6,Snack,2009-04-03 17:23:12.059366,2009-04-03 17:24:05.051598,1
6,Snack,2009-04-03 17:25:18.568269,2009-04-03 17:25:45.029619,0
6,Snack,2009-04-03 17:35:25.288589,2009-04-03 17:37:02.036769,2
6,Snack,2009-04-03 19:16:41.164079,2009-04-03 19:16:50.507999,0
6,Snack,2009-04-03 19:30:58.067721,2009-04-03 19:31:06.034889,0
6,Snack,2009-04-03 19:48:17.217669,2009-04-03 19:48:31.173089,0
6,Snack,2009-04-03 19:56:36.006761,2009-04-03 19:56:52.050373,0
6,Snack,2009-04-03 22:02:43.070198,2009-04-03 22:04:13.029337,1
6,Eat,2009-04-06 07:19:07.008849,2009-04-06 07:24:27.845839,5
6,Eat,2009-04-06 08:11:55.761909,2009-04-06 08:14:15.018194,2
6,Snack,2009-04-06 10:43:33.069649,2009-04-06 10:43:44.915549,0
6,Snack,2009-04-06 10:44:38.056233,2009-04-06 10:46:13.285279,2
