user_id,food_id,rating
1,678,2
1,341,4
1,1049,2
1,850,2
1,574,2
1,793,3
1,644,2
1,556,2
1,717,1
1,54,4
1,369,4
1,390,3
1,199,2
1,758,2
1,143,2
1,306,1
1,978,3
3,845,5
3,744,3
3,127,4
3,606,3
3,257,4
3,354,3
3,520,4
3,879,4
3,1082,4
3,321,4
3,111,3
3,24,3
3,34,3
3,756,3
3,704,3
3,813,4
3,1114,4
3,594,5
3,553,3
3,19,4
3,1000,5
3,27,3
3,155,3
3,1053,3
3,291,2
3,1016,3
3,867,3
3,981,3
3,400,3
3,496,3
3,314,4
3,766,4
3,676,3
3,471,4
4,108,5
4,364,5
4,414,5
4,593,5
4,1046,5
4,963,5
4,218,5
4,200,5
4,762,5
4,336,5
4,454,5
4,935,5
4,591,5
4,983,5
4,597,5
4,53,5
4,418,5
4,239,5
4,708,5
4,20,5
4,691,5
4,787,5
4,715,4
4,1051,5
4,202,5
4,704,5
4,1113,5
4,1041,4
4,330,5
4,111,5
4,412,4
4,1011,4
4,347,4
4,708,5
4,591,5
4,601,4
4,927,4
4,620,3
4,163,4
4,623,3
4,178,3
4,882,5
4,1003,5
4,869,4
4,1,5
4,799,3
4,1052,5
4,1028,4
4,748,5
4,463,1
4,313,5
4,640,4
4,184,2
4,166,5
4,224,5
4,1045,5
4,792,3
4,695,5
4,283,5
4,215,5
4,312,3
4,12,2
4,1017,5
4,622,4
4,353,5
4,100,4
4,928,4
4,610,4
4,764,4
4,464,5
4,259,3
4,320,5
4,537,5
4,1046,5
4,655,4
4,427,5
4,66,5
4,296,5
4,796,5
4,565,4
4,109,5
4,792,5
4,615,5
4,923,4
4,497,5
4,175,3
4,418,5
4,471,5
4,699,4
4,882,5
4,611,4
4,128,4
4,961,5
4,605,5
4,713,5
4,876,3
4,1071,5
4,585,4
4,466,3
4,369,5
4,260,5
4,402,4
4,417,4
4,168,4
4,734,5
4,656,4
4,293,5
4,855,5
4,893,4
4,935,1
4,322,5
4,618,5
4,128,3
4,816,4
4,304,4
4,922,5
4,961,5
4,705,4
4,870,1
4,92,5
4,705,5
4,119,4
4,996,5
4,246,5
4,609,3
4,486,3
4,616,5
4,623,5
4,341,2
4,907,1
4,255,4
4,303,5
4,645,5
4,257,3
4,299,5
4,223,5
4,714,3
4,1105,5
4,581,4
4,654,5
4,456,5
4,183,4
4,448,4
4,450,4
4,1051,5
4,749,4
4,861,2
4,97,4
4,723,5
4,281,4
4,657,3
4,385,5
4,328,2
5,679,3
5,303,2
5,136,4
5,187,4
5,204,5
5,699,3
5,374,4
5,1036,3
5,696,4
5,565,4
5,912,4
5,955,4
5,343,4
5,432,4
5,971,4
5,785,3
5,648,1
5,181,5
5,978,4
5,757,4
5,945,3
5,1109,4
5,877,3
5,883,4
5,268,4
5,865,4
5,75,3
5,396,3
5,1062,3
5,972,3
5,355,3
5,90,3
5,236,4
5,833,3
5,770,4
5,1083,3
5,304,4
5,286,4
5,986,3
5,602,4
5,321,3
5,768,3
5,67,4
5,465,3
5,299,3
5,338,4
5,178,3
5,156,4
5,739,4
5,345,4
5,719,3
5,718,4
5,168,3
5,974,4
5,41,3
5,747,4
5,249,4
5,699,4
5,1013,2
5,666,4
5,792,4
5,665,4
5,315,3
5,98,4
5,345,4
5,412,4
5,134,4
5,623,3
5,1007,5
5,739,4
5,397,4
5,775,4
5,502,4
5,381,4
5,988,4
5,588,4
6,273,5
6,976,4
6,591,4
6,654,4
6,975,4
6,209,2
6,952,2
6,458,2
6,347,2
6,145,0
6,936,3
6,594,3
6,199,4
6,325,4
6,428,4
6,475,3
6,856,3
6,1042,4
6,167,1
6,330,2
6,743,4
6,878,3
6,978,4
6,369,3
6,1102,1
6,611,4
6,527,3
6,527,1
6,122,1
6,907,1
6,629,5
6,137,3
6,997,5
6,403,4
6,1021,3
6,553,4
6,612,3
6,584,4
7,326,3
7,875,3
7,231,4
7,605,5
7,399,5
7,273,3
7,226,5
7,107,5
7,589,4
7,897,5
7,956,5
7,30,4
7,1024,4
7,111,5
7,497,3
7,1027,4
7,367,3
7,747,4
7,537,4
7,575,3
7,628,3
7,934,4
7,1078,3
7,927,3
7,286,3
7,735,3
7,719,2
7,214,4
7,606,3
7,1089,3
7,519,3
7,979,5
7,1072,1
8,8,3
8,477,4
8,777,4
8,952,4
8,751,4
8,610,4
8,1111,4
8,347,4
8,193,3
8,786,4
8,625,4
8,614,3
8,528,0
8,380,4
8,94,3
8,419,4
8,30,3
8,949,3
8,1015,5
8,505,4
8,473,4
8,205,3
8,631,5
8,985,3
8,237,5
8,803,4
8,519,3
8,803,3
8,619,4
8,221,4
8,680,4
8,197,5
8,800,3
8,713,3
8,284,5
8,291,5
8,291,3
8,547,4
8,163,2
8,65,4
8,844,3
8,1087,3
8,488,3
8,913,4
8,386,5
8,1108,4
8,295,4
8,802,5
8,437,3
8,334,4
8,917,4
8,68,4
8,768,3
8,263,4
8,745,5
8,210,4
8,460,2
8,742,3
8,117,3
8,216,4
8,908,4
8,651,3
8,967,3
8,130,5
8,723,3
8,1113,4
8,276,4
8,958,4
8,1047,4
8,457,3
8,503,4
8,405,3
8,926,4
8,1099,3
8,644,4
8,283,5
8,787,3
8,732,3
8,714,4
8,1100,4
8,23,4
8,642,2
8,817,4
8,391,4
8,864,3
8,575,3
8,863,4
8,583,4
8,785,4
8,589,3
8,275,3
8,785,3
8,1036,2
8,243,3
8,106,3
8,614,3
9,1041,3
9,900,4
9,845,4
9,669,3
9,297,2
9,770,4
9,665,4
9,989,5
9,1099,4
9,1077,3
9,721,5
9,959,4
9,543,4
9,112,4
9,346,4
9,1041,3
9,448,3
9,524,4
9,178,4
9,569,2
9,743,4
9,245,4
9,634,4
9,814,2
9,215,3
9,531,4
9,1048,2
9,446,5
9,969,3
9,334,4
9,1073,4
10,118,4
10,973,4
10,608,4
10,645,4
10,890,4
10,203,4
10,1081,3
10,487,4
10,386,4
10,678,5
10,282,4
10,21,3
10,498,3
10,555,5
10,1020,3
10,719,4
10,885,5
10,676,2
10,667,5
10,1030,3
10,326,5
10,642,4
10,793,2
10,50,4
10,93,5
10,607,5
10,641,3
10,83,3
10,839,4
10,162,3
10,677,4
10,1055,2
10,254,5
10,1100,2
10,599,3
10,651,4
11,957,5
11,467,5
11,861,3
11,470,3
11,775,4
11,389,3
11,490,3
11,920,3
11,834,5
11,732,5
11,890,5
11,1055,4
11,118,4
11,764,3
11,948,4
11,993,4
11,387,4
11,117,3
11,785,4
11,625,3
11,744,4
11,1076,4
11,594,4
11,592,4
11,42,4
11,1017,4
11,436,4
11,128,5
11,745,5
12,361,1
12,815,5
12,76,5
12,1098,2
12,317,5
12,420,1
12,804,1
12,957,4
12,43,2
12,738,3
12,1046,2
12,13,2
12,1058,4
12,25,1
12,823,2
12,945,4
12,447,2
12,876,1
12,747,3
12,780,2
12,369,4
12,776,1
12,800,4
12,99,4
12,583,3
12,105,2
12,443,2
12,548,1
12,1017,5
12,1060,3
12,660,4
12,629,1
12,372,3
12,263,3
12,724,5
12,922,2
12,436,2
12,600,4
12,551,2
12,252,1
12,1044,3
12,126,5
12,833,3
12,388,5
12,555,2
12,351,2
12,624,3
12,871,5
12,479,3
12,140,2
12,215,4
13,868,4
13,919,2
13,991,3
13,753,4
13,647,4
13,866,3
13,697,3
13,201,4
13,738,3
13,1018,3
13,415,3
13,380,3
13,624,3
13,410,4
13,15,3
13,331,3
13,1041,3
13,945,4
13,50,4
13,441,2
13,530,3
13,497,4
13,729,3
13,820,4
13,426,4
13,631,4
13,382,4
13,489,4
13,588,3
13,196,4
13,232,4
13,404,4
13,628,4
13,689,4
13,489,4
13,927,3
14,832,4
14,394,3
14,814,3
14,250,2
14,7,3
14,555,3
14,224,2
14,522,3
14,794,2
14,324,3
14,588,2
14,875,4
14,934,2
14,346,5
14,998,3
14,1029,3
14,1020,4
14,199,3
14,210,4
15,226,1
15,999,4
15,734,2
15,723,2
15,146,3
15,631,3
15,938,4
15,635,3
15,210,4
15,938,3
15,860,4
15,871,2
15,835,4
15,702,3
15,879,5
15,846,5
15,100,1
15,839,4
15,80,1
15,1065,4
15,109,3
15,164,4
15,916,2
15,1025,5
15,176,3
15,697,5
15,848,4
15,477,5
15,1111,1
15,471,3
15,473,3
15,532,4
15,1111,1
15,722,2
15,676,4
15,199,3
15,980,1
15,379,5
15,640,4
15,954,4
15,769,4
15,1074,4
15,561,3
15,1006,4
15,755,3
15,561,4
15,368,3
15,563,3
15,776,2
15,17,5
15,1104,1
15,986,5
15,115,3
15,260,3
15,488,4
15,411,3
15,420,5
15,712,3
15,653,4
15,835,3
15,570,3
15,815,1
15,92,4
15,1087,3
15,264,4
15,691,4
15,1043,5
15,318,5
15,526,3
15,586,2
15,98,3
15,985,1
15,739,3
15,526,3
15,448,2
15,119,4
15,642,4
15,117,3
15,102,4
15,776,4
15,284,4
15,822,3
15,4,2
15,202,3
15,682,5
15,843,3
15,8,2
15,760,2
15,302,2
15,801,2
15,846,2
15,198,1
15,989,3
15,981,3
15,21,3
15,739,2
15,970,3
15,675,4
15,257,0
15,196,3
15,1113,4
15,803,4
15,183,3
15,1044,5
15,210,4
15,69,4
15,810,4
15,800,3
15,1005,1
15,141,3
15,1086,3
15,735,3
15,848,3
15,882,1
15,522,1
15,43,2
15,214,3
15,839,1
15,188,3
15,560,1
15,574,4
15,147,1
15,995,2
15,28,1
15,1007,3
15,1087,4
15,337,4
15,1034,4
15,778,2
15,164,2
15,588,1
15,239,3
15,710,3
15,818,3
15,202,5
15,577,4
15,199,4
15,438,4
15,314,1
15,678,3
15,484,2
15,552,3
15,278,3
15,1009,3
15,1087,4
15,689,3
15,873,2
15,1070,4
15,489,1
15,481,3
15,46,4
15,824,4
15,180,4
15,573,1
15,326,3
15,897,1
15,6,3
15,716,0
15,374,3
15,999,4
15,117,3
15,143,1
15,869,3
